CMiVWXHSiTs	hand-fighting-101	HAND FIGHTING	CLEAR THE TIE	SNAP & FAKE
O4_tHVaUJQg	inside-bar-defense	BOTTOM WORK	BEAT THE	INSIDE BAR
8vcqPmGPqM4	handfight-techniques	HAND FIGHTING	HAND FIGHT	DRILLS
PSzZjU9h_t8	quick-ties-to-legs	TAKEDOWNS	QUICK TIES	TO THE LEGS
KLHvoI03d6Q	cornell-tilt	TOP WORK	THE CORNELL	TILT
G5MSjYd4C3A	pressure-ride	TOP WORK	THE PRESSURE	RIDE
99Mo1SxYxoo	cheap-tilt	TOP WORK	THE CHEAP	TILT
gY2fHuLCKvQ	front-head-locks	FRONT HEADLOCK	FRONT HEAD	LOCK SERIES
S5vlX6euJiA	back-door-finish	FINISHES	THE BACK	DOOR FINISH
wGcDZI9pAJs	low-single-defense	DEFENSE	STOP THE	LOW SINGLE
