QL9Ddy4eCaM	side-clinch-crab	TOP WORK	SIDE CLINCH	CRAB TO BOOT
iD74XgABVkM	proper-lift-return	TOP WORK	THE PROPER	LIFT RETURN
Sp8cOu_saC8	cut-back-finish	LEG ATTACKS	THE CUT BACK	FINISH
-RPnUFbuX3c	down-block-fly-defense	DEFENSE	DOWN BLOCK	TO THE FLY
wFO12HZUUIo	downblock-fly-drill	REACTION DRILLS	DOWNBLOCK	FLY DRILL
kKd8thUYI_8	simple-funk-defense	LEG ATTACKS	SIMPLE FUNK	DEFENSE
zmb9h2i4SLo	nafa-options	LEG ATTACKS	FAR ANKLE	OPTIONS
_5c_u9DoAoQ	crack-hold	LEG ATTACKS	THE CRACK	HOLD
oevgxvQuQPM	basic-leg-position	TOP WORK	BASIC LEG	POSITION
Qc_k10ftAyA	force-the-shot	REACTION DRILLS	FORCE THE	SHOT
