yqiuC57vDFs	fhl-sneak-attack	FRONT HEADLOCK	THE SNEAK	ATTACK
OVofCQzxtk8	reinforced-bar	TOP WORK	THE REINFORCED	BAR
DzF87ssvzQA	quick-finish	LEG ATTACKS	THE QUICK	FINISH
kIjCHqW8wnA	back-trip-finish	LEG ATTACKS	THE BACK TRIP	FINISH
U0B461BeSmo	retackle-top-return	TOP WORK	THE RETACKLE	RETURN
0TiX_Ya9_JY	hand-fighting-201	ADVANCED	HAND FIGHTING	PART TWO
1MJQhOG5PGk	defensive-reshot	REACTION DRILLS	DEFENSIVE	RESHOT
tlmVqrnzzHo	legs-defense	DEFENSE	DEFENDING	THE LEGS
Z3lmsiOo3GE	snap-and-fly	REACTION DRILLS	SNAP	AND FLY
ZIu-NMffN4Q	pre-match-spar	LIVE GOES	PRE-MATCH	SPAR
-siaMSV8O3A	180-drill	REACTION DRILLS	THE 180	DRILL
33TaSpl6O8U	offensive-reshot	REACTION DRILLS	OFFENSIVE	RESHOT
